iter	Passed	Remaining
406	6202	9036
407	6217	9021
408	6231	9004
409	6244	8986
410	6259	8970
411	6273	8953
412	6288	8937
413	6301	8920
414	6314	8900
415	6326	8881
416	6341	8865
417	6354	8847
418	6368	8831
419	6382	8813
420	6394	8794
421	6408	8776
422	6420	8757
423	6433	8740
424	6446	8721
425	6458	8701
426	6471	8683
427	6485	8667
428	6497	8648
429	6508	8627
430	6519	8607
431	6534	8591
432	6547	8573
433	6559	8554
434	6572	8537
435	6585	8518
436	6597	8499
437	6609	8480
438	6621	8461
439	6638	8448
440	6652	8432
441	6666	8415
442	6681	8401
443	6697	8386
444	6710	8369
445	6723	8351
446	6735	8333
447	6751	8318
448	6764	8301
449	6778	8285
450	6792	8268
451	6806	8252
452	6819	8235
453	6832	8216
454	6846	8201
455	6859	8183
456	6875	8169
457	6887	8150
458	6899	8131
459	6911	8113
460	6924	8096
461	6937	8078
462	6951	8062
463	6963	8044
464	6976	8026
465	6991	8011
466	7004	7994
467	7016	7975
468	7028	7957
469	7041	7940
470	7053	7922
471	7065	7903
472	7077	7885
473	7090	7868
474	7105	7853
475	7118	7836
476	7134	7822
477	7145	7803
478	7158	7786
479	7172	7769
480	7184	7752
481	7197	7735
482	7211	7719
483	7226	7704
484	7238	7686
485	7249	7667
486	7262	7650
487	7276	7634
488	7289	7617
489	7318	7617
490	7329	7597
491	7342	7581
492	7355	7564
493	7370	7549
494	7382	7531
495	7395	7514
496	7411	7500
497	7424	7484
498	7437	7467
499	7450	7450
500	7462	7432
501	7474	7415
502	7487	7398
503	7501	7382
504	7514	7366
505	7528	7350
506	7540	7332
507	7551	7313
508	7563	7295
509	7577	7280
510	7600	7273
511	7635	7277
512	7656	7268
513	7671	7253
514	7702	7254
515	7733	7253
516	7759	7249
517	7786	7245
518	7814	7242
519	7835	7233
520	7877	7242
521	7906	7240
522	7937	7239
523	7999	7266
524	8037	7271
525	8070	7272
526	8099	7269
527	8136	7273
528	8165	7270
529	8190	7263
530	8223	7263
531	8262	7268
532	8292	7265
533	8318	7258
534	8338	7247
535	8357	7235
536	8387	7231
537	8419	7230
538	8438	7217
539	8461	7208
540	8481	7196
541	8497	7180
542	8513	7165
543	8530	7150
544	8549	7137
545	8566	7122
546	8584	7109
547	8601	7094
548	8619	7080
549	8636	7065
550	8651	7049
551	8668	7035
552	8684	7020
553	8701	7005
554	8719	6990
555	8744	6982
556	8775	6979
557	8800	6970
558	8816	6955
559	8836	6943
560	8854	6929
561	8872	6915
562	8890	6900
563	8907	6886
564	8928	6874
565	8948	6861
566	8973	6853
567	9006	6850
568	9027	6838
569	9044	6823
570	9064	6810
571	9083	6796
572	9097	6779
573	9117	6766
574	9132	6750
575	9147	6733
576	9165	6719
577	9180	6702
578	9198	6688
579	9216	6673
580	9234	6659
581	9253	6646
582	9270	6630
583	9286	6614
584	9301	6598
585	9312	6579
586	9326	6561
587	9342	6546
588	9355	6528
589	9428	6552
590	9455	6543
591	9472	6528
592	9487	6511
593	9500	6493
594	9511	6474
595	9525	6457
596	9537	6438
597	9549	6419
598	9564	6402
599	9584	6389
600	9597	6371
601	9610	6354
602	9625	6337
603	9637	6318
604	9651	6301
605	9665	6284
606	9680	6267
607	9693	6249
608	9705	6230
609	9716	6212
610	9728	6193
611	9741	6176
612	9752	6157
613	9765	6139
614	9780	6122
615	9792	6104
616	9808	6088
617	9821	6071
618	9838	6055
619	9853	6039
620	9868	6022
621	9888	6009
622	9905	5994
623	9921	5978
624	9934	5960
